1	464
1	740
1	804
1	1464
1	1607
1	1649
1	1819
1	1910
1	1977
2	279
2	577
2	1237
2	1335
2	1487
2	1621
2	1675
2	1735
2	1909
3	77
3	316
3	659
3	1366
3	1452
3	1503
3	1612
3	1626
3	1788
4	45
4	110
4	417
4	887
4	1429
4	1482
4	1545
4	1856
4	1956
5	1047
5	1385
5	1448
5	1807
5	1818
5	1855
5	1872
5	1896
5	1979
6	416
6	992
6	1245
6	1360
6	1527
6	1716
6	1935
6	1977
6	1992
7	92
7	561
7	949
7	1018
7	1304
7	1473
7	1613
7	1644
7	1940
8	90
8	649
8	693
8	1682
8	1743
8	1939
8	1944
8	1965
8	1972
9	43
9	108
9	507
9	539
9	1085
9	1161
9	1570
9	1697
9	1789
10	853
10	1417
10	1640
10	1713
10	1808
10	1871
10	1883
10	1941
10	1998
11	901
11	1215
11	1248
11	1328
11	1415
11	1503
11	1878
11	1890
11	1988
12	135
12	1273
12	1496
12	1532
12	1578
12	1791
12	1959
12	1961
12	1964
13	1191
13	1543
13	1560
13	1624
13	1656
13	1669
13	1744
13	1751
13	1779
14	899
14	1640
14	1713
14	1758
14	1775
14	1871
14	1980
14	1983
14	1998
15	1196
15	1225
15	1440
15	1537
15	1734
15	1773
15	1798
15	1923
15	1968
16	308
16	842
16	1362
16	1557
16	1743
16	1811
16	1939
16	1965
16	1972
17	598
17	731
17	1284
17	1325
17	1344
17	1510
17	1608
17	1643
17	1976
18	344
18	721
18	957
18	1114
18	1180
18	1211
18	1540
18	1647
18	1962
19	122
19	124
19	1439
19	1496
19	1532
19	1603
19	1888
19	1925
19	1959
20	420
20	919
20	996
20	1248
20	1677
20	1870
20	1878
20	1928
20	1947
21	1233
21	1410
21	1761
21	1777
21	1807
21	1896
21	1979
21	1994
21	1997
22	33
22	337
22	839
22	1572
22	1648
22	1666
22	1752
22	1782
22	1845
23	910
23	1194
23	1569
23	1600
23	1767
23	1846
23	1874
23	1917
23	1929
24	786
24	1214
24	1328
24	1619
24	1638
24	1878
24	1890
24	1943
24	1988
25	672
25	818
25	1273
25	1587
25	1628
25	1693
25	1763
25	1770
25	1952
26	350
26	402
26	557
26	580
26	635
26	873
26	1575
26	1707
26	1931
27	356
27	852
27	1227
27	1236
27	1704
27	1736
27	1827
27	1893
27	1975
28	296
28	543
28	607
28	1131
28	1397
28	1450
28	1703
28	1815
28	1831
29	682
29	761
29	1093
29	1204
29	1377
29	1455
29	1735
29	1843
29	1892
30	327
30	745
30	1314
30	1378
30	1460
30	1690
30	1717
30	1756
30	1880
31	460
31	767
31	822
31	823
31	1050
31	1465
31	1576
31	1895
31	1999
32	916
32	1192
32	1368
32	1445
32	1453
32	1801
32	1840
32	1926
32	1940
33	22
33	198
33	239
33	452
33	689
33	1381
33	1476
33	1796
33	1909
34	239
34	452
34	553
34	556
34	665
34	1279
34	1565
34	1796
34	1826
35	267
35	1093
35	1330
35	1377
35	1379
35	1541
35	1843
35	1845
35	1892
36	787
36	910
36	911
36	1585
36	1767
36	1846
36	1880
36	1917
36	1991
37	88
37	429
37	1197
37	1277
37	1336
37	1484
37	1715
37	1737
37	1763
38	912
38	1005
38	1162
38	1259
38	1356
38	1360
38	1935
38	1992
38	2000
39	772
39	963
39	1121
39	1539
39	1638
39	1688
39	1885
39	1887
39	1900
40	300
40	655
40	668
40	933
40	1147
40	1630
40	1661
40	1932
40	1944
41	814
41	883
41	908
41	1409
41	1446
41	1592
41	1641
41	1772
41	1831
42	359
42	1230
42	1281
42	1483
42	1728
42	1739
42	1760
42	1866
42	1991
43	9
43	108
43	241
43	507
43	1570
43	1697
43	1829
43	1876
43	1887
44	1081
44	1353
44	1354
44	1365
44	1516
44	1729
44	1780
44	1795
44	1919
45	4
45	293
45	769
45	1355
45	1592
45	1636
45	1772
45	1831
45	1908
46	826
46	961
46	1195
46	1266
46	1346
46	1431
46	1495
46	1558
46	1680
47	48
47	868
47	1239
47	1384
47	1480
47	1595
47	1597
47	1797
47	1928
48	47
48	212
48	219
48	457
48	1298
48	1404
48	1480
48	1807
48	1928
49	268
49	846
49	1104
49	1436
49	1486
49	1800
49	1821
49	1835
49	1971
50	119
50	436
50	471
50	1096
50	1367
